,onset2COWCS,d2incidenceU,d3_6incidenceU,onsetUCS,coup,periregular,milexp_pergdpSIPRI,country,t,decade,ecgrowth,logpop_M,logpopdens,logoutreg,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,milexp_pergdpSIPRI_diff,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned
11200,,,,,,,,ABW,1929,,,,,0.12795348,,,,0.004107,0.003889,,,,,,,
11201,,,,,,,,ABW,1930,1,,,,0.0324957,,,,0.004107,0.003889,,,,,,-0.095457785,
11202,,,,,,,,ABW,1931,1,,,,0.16069515,,,,0.004107,0.003889,,,,,,0.12819946,
11203,,,,,,,,ABW,1932,1,,,,0.0324957,,,,0.004107,0.003889,,,,,,-0.12819946,
11204,,,,,,,,ABW,1933,1,,,,0.1270937,,,,0.004107,0.003889,,,,,,0.094598,
11205,,,,,,,,ABW,1934,1,,,,0.0324957,,,,0.004107,0.003889,,,,,,-0.094598,
11206,,,,,,,,ABW,1935,1,,,,0.10824122,,,,0.004107,0.003889,,,,,,0.07574552,
11207,,,,,,,,ABW,1936,1,,,,0.120567426,,,,0.004107,0.003889,,,,,,0.012326203,
11208,,,,,,,,ABW,1937,1,,,,0.15083759,,,,0.004107,0.003889,,,,,,0.03027016,
11209,,,,,,,,ABW,1938,1,,,,0.14682727,,,,0.004107,0.003889,,,,,,-0.00401032,
11210,,,,,,,,ABW,1939,1,,,,0.11984512,,,,0.004107,0.003889,,,,,,-0.026982144,
11211,,,,,,,,ABW,1940,2,,,,0.12759826,,,,0.004107,0.003889,,,,,,0.007753134,
11212,,,,,,,,ABW,1941,2,,,,0.0324957,,,,0.004107,0.003889,,,,,,-0.095102556,
11213,,,,,,,,ABW,1942,2,,,,0.0324957,,,,0.004107,0.003889,,,,,,0,
11214,,,,,,,,ABW,1943,2,,,,0.15648651,,,,0.004107,0.003889,,,,,,0.12399081,
11215,,,,,,,,ABW,1944,2,,,,0.1339867,,,,0.004107,0.003889,,,,,,-0.022499815,
